                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3236,                 2.4712,                 1.8454,                 1.4656,                0.22118,                  0.244,                0.11255,                0.03694,                0.15041,                   0.16,                0.06711,                 0.0225,                 2.2875,                 4.9332,                  3.563,                 2.2205,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.2485,                 2.4085,                 1.6713,                 1.4909,                0.29251,                  0.236,                 0.1527,                0.05221,                 0.2432,                  0.192,                0.11427,                0.03971,                 2.1985,                 4.4205,                 3.2863,                 2.1548,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.2694,                 2.3674,                 1.7284,                 1.4321,                0.20617,                  0.212,                0.12531,                 0.0498,                0.28819,                   0.14,                 0.1143,                0.04381,                 2.2145,                 4.5185,                 3.2133,                 2.2035,               0.001769,               0.001769,               0.001769
                     37,                 1.2217,                 2.3588,                 1.6671,                 1.3934,                0.21043,                  0.188,                0.13925,                0.05326,                 0.4855,                  0.124,                0.12339,                0.05096,                 2.2696,                 4.6631,                 3.3489,                  2.293,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.1111,                 2.1395,                 1.5189,                 1.2966,                 0.2612,                   0.22,                0.16046,                0.06075,                0.27215,                  0.208,                0.13508,                0.04683,                 2.1098,                 4.7669,                 3.1012,                 2.0363,              0.0017558,              0.0017558,              0.0017558
                     39,                  1.137,                 2.0571,                 1.5236,                 1.3513,                 0.2904,                  0.308,                0.20079,                0.07816,                0.32941,                0.22989,                0.16892,                 0.0617,                 2.1357,                 4.2946,                 2.8944,                 2.0243,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.1683,                 2.1512,                 1.5633,                 1.4116,                0.26726,                  0.228,                0.16041,                0.06327,                0.21066,                  0.184,                0.13346,                0.04746,                 2.0655,                 4.3309,                 3.0296,                 1.9896,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.1122,                 2.0847,                 1.6115,                 1.3128,                0.33603,                0.18827,                0.17634,                0.06844,                0.37577,                  0.168,                0.16187,                0.06748,                 2.0478,                 4.1333,                 3.1935,                 1.9819,               0.001736,               0.001736,               0.001736
                     42,                 1.1595,                 2.2583,                 1.6689,                 1.3796,                0.26824,                  0.224,                0.17646,                0.06879,                 0.3013,                  0.212,                0.15951,                0.06606,                 1.9592,                 3.8504,                 3.1086,                 1.9898,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1201,                 2.1534,                 1.5469,                 1.3359,                 0.2777,                0.25222,                0.17013,                0.06947,                0.28054,                   0.24,                0.17457,                0.07176,                 1.9501,                 3.6327,                 3.1256,                 2.0029,              0.0017228,              0.0017228,              0.0017228
